=== Server Log Started ===
[2026-01-20 06:25:10] [INFO ] [PID:6397] 로그 시스템 초기화 완료
[2026-01-20 06:25:10] [INFO ] [PID:6397] === Multi-Process Echo Server (fork-exec) 시작 ===
[2026-01-20 06:25:10] [INFO ] [PID:6397] Port: 9190
[2026-01-20 06:25:10] [INFO ] [PID:6397] 클라이언트 연결 대기 중 (poll 사용, fork-exec 방식)
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41752 (Session #1, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6531, Session #1)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=1, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41766 (Session #2, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6532, Session #2)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=2, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41778 (Session #3, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6533, Session #3)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=3, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41784 (Session #4, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6534, Session #4)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=4, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41800 (Session #5, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6535, Session #5)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=5, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41812 (Session #6, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6536, Session #6)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=6, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41824 (Session #7, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6537, Session #7)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=7, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41828 (Session #8, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6538, Session #8)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=8, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41834 (Session #9, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6539, Session #9)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=9, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41850 (Session #10, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6540, Session #10)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=10, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41860 (Session #11, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6541, Session #11)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=11, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41868 (Session #12, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6542, Session #12)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=12, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41878 (Session #13, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6543, Session #13)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=13, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41892 (Session #14, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6544, Session #14)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=14, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41908 (Session #15, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6545, Session #15)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=15, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41910 (Session #16, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6546, Session #16)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=16, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41924 (Session #17, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6547, Session #17)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=17, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41938 (Session #18, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6548, Session #18)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=18, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41948 (Session #19, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6549, Session #19)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=19, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41958 (Session #20, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6550, Session #20)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=20, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41966 (Session #21, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6551, Session #21)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=21, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41970 (Session #22, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6552, Session #22)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=22, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41972 (Session #23, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6553, Session #23)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=23, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41976 (Session #24, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6554, Session #24)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=24, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41984 (Session #25, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6555, Session #25)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=25, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41994 (Session #26, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6556, Session #26)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=26, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:41996 (Session #27, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6557, Session #27)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=27, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42010 (Session #28, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6558, Session #28)
